id_version, n_classes
caf707703e4f44e86a249efa0c9252f31313bee1, 2, 
b040f580345e59e18a78158aeebdddf88458aad2, 2, 
04791dd3fc90ecef7a48da33bc6232405e7aef63, 2, 
9fb9deb1500d1b7753be5b30cc543d55ef498134, 1, 
9fc1c6b12e561d1f066d30b06d9bce3ba3030452, 1, 
e8828bb04ab54211d074185f2a7042974f424d69, 1, 
11757146c0755a10887e6046e535e03cc94e179d, 1, 
230beaed46353e91a8f7a89df58fbf07dcee4714, 1, 
af7bfadf6cf8fbdda1c6104f89961302bd06dec1, 0, 
58258d12fa7c8ef5172cd893b9a8196893e1c0ca, 0, 
