id_version, n_classes, m_c_BC
461625fd1f7242a1223f8e73716e9f2b4e9fd8a5, 987, 0.09508197, 
c1a6c13526273a319319d2dc8979e5b5b2c97531, 987, 0.09508197, 
b42f388da5d4c11f6607596f2e7493cbed5d0e55, 987, 0.09508197, 
c9f921412f96941ca201b04b8892aae78437c466, 987, 0.09508197, 
080623849526ad1655be54482797aa606a822a17, 987, 0.09508197, 
b14df3686d579607e6a862ae694027de238a0265, 987, 0.09508197, 
